Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Birthplace,BirthRegion,SwedishResidence,Age,Gender,SubmissionTime
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kaka,bakverk,Semla ,bulle,kaka,kaka,bulle,kaka,Svenska,"Engelska, tyska, spanska",Sverige,Halland,Västergötland,40-49,Kvinna,Fri May 14 05:47:31 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,kaka,Wienerbröd ,bulle,bulle,bakverk,kaka,bröd,paj,Svenska ,"Engelska, tyska ",Sverige ,Skåne,Södermanland,40-49,Kvinna,Fri May 14 05:58:23 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,bakverk,kaka,bulle,kaka,Svenska ,Engelska ,Sverige ,Bohuslän,Västmanland,40-49,Kvinna,Fri May 14 06:54:25 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bulle,bakelse,bulle,bulle,bakverk,bröd,kaka,Svenska ,Tyska och engelska ,Sverige,Västergötland,Västergötland,20-29,Kvinna,Fri May 14 07:19:10 PM 2021
Bröllopstårta ,tårta,Hallontarte,paj,Pepparkakor ,Mazarinkaka,paj,kaka,Wienerbröd el vaniljbulle ,bulle,bulle,bakverk,Sockerkaka ,Bulllängd,Plommonkaka,Svenska ,"Tyska, engelska, lite holländska",Sverige ,Västergötland,Bohuslän,50-59,Kvinna,Fri May 14 07:22:15 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,bakelse,bulle,bakverk,kaka,bröd,kaka,Svenska ,"Engelska, tyska, nederländska, franska och spanska ",Sverige ,Östergötland,Uppland,30-39,Kvinna,Fri May 14 07:23:25 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bröd,bakelse,bulle,bakverk,kaka,bröd,ruta,Svenska,"Engelska, Indonesiska",Sverige,Södermanland,Östergötland,50-59,Kvinna,Fri May 14 07:29:23 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kex,bakverk,bulle,bulle,kaka,kaka,bröd,ruta,Rumänska ,"Italienska,  spanska, engelska, svenska, franska",Rumänien,Jag kommer inte från Sverige,Västergötland,40-49,Kvinna,Fri May 14 07:31:31 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,bakelse,bakverk,bakverk,kaka,bit,kaka,Svenska,Engelska,Sverige ,Jag kommer inte från Sverige,Halland,40-49,Kvinna,Fri May 14 07:33:44 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,Wienerbröd,Semla,bulle,kaka,kaka,bulle,kaka,Svenska,Engelska och spanska ,Sverige,Uppland,Småland,60-69,Kvinna,Fri May 14 07:33:52 PM 2021
