Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,bun,roll,bread,bread,bun,tart,American English,Japanese ,20-29,Female,USA,None,Thu May 13 10:29:33 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone,roll,slice,cake,bun,slice,Australian English ,"Spanish, Portuguese ",30-39,Female,Australia ,,Fri May 14 12:29:22 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,tart,roll,pastry,cake,roll,pastry,English ,Span,30-39,Female,Usa,,Fri May 14 05:15:19 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,bun,Scroll,slice,cake,bread,slice,English ,Swedish ,40-49,Male,Australia ,Sweden,Fri May 14 07:17:01 AM 2021
cake,cake,pie,pie,cookie,tart,tart,cookie,pastry,pastry,pastry,pie,cake,bun,pie,swedish,"english, french, finnish",20-29,Female,Belgium ,Sweden ,Fri May 14 08:28:11 AM 2021
cake,cake,tart,pie,cookie,cake,Flan,biscuit,pastry,bun,bun,slice,cake,bread,slice,Swedish,"English, Dutch",40-49,Female,Sweden,Belgium,Fri May 14 08:39:36 AM 2021
cake,cake,tart,tart,biscuit,cake,cheesecake,biscuit,pastry,scone,pastry,tart,cake,bread,cake,English,"German, French",50-59,Male,UK,,Fri May 14 10:07:54 AM 2021
cake,cake,tart,pie,cookie,slice,slice,cookie,pastry,roll,bun,pastry,pastry,roll,pastry,English,Russian,40-49,Female,US,None,Fri May 14 10:08:15 AM 2021
cake,cake,cake,pie,cookie,cake,cake,cookie,pastry,pastry,pastry,tart,bun,bun,cake,German,"English, Spanish, French, Swedish, Japanese, Arabic",20-29,Female,Germany,,Fri May 14 10:08:17 AM 2021
cake,cake,tart,pie,cookie,spong,tart,biscuit,cake,pastry,bun,pastry,tart,bun,tart,English,French,60-69,Male,United Kingdom,,Fri May 14 12:00:30 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,cake,pastry,cake,cake,bread,traybake,English,,20-29,Female,United Kingdom,,Fri May 14 12:08:02 PM 2021
cake,cake,tart,pie,cookie,tart,tart,cookie,pastry,pastry,roll,pastry,cake,roll,pastry,English,French,50-59,Male,USA,,Fri May 14 12:11:36 PM 2021
cake,cake,tart,pie,biscuit,slice,Flan,biscuit,pastry,bun,roll,cake,cake,bread,cake,Urdu,English,30-39,Female,Pakistan,UK,Fri May 14 12:15:04 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,pastry,bread,roll,bar,English,,30-39,Female,United States,,Fri May 14 02:32:33 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,fairy cake (hard to tell from picture),scroll,tart,monkey bread (hard to tell from picture),challa,slice,English,German,40-49,Male,Australia,,Fri May 14 03:00:07 PM 2021
cake,cake,"I'm not sure, pie or tart",pie,cookie,cake,pie,cookie,tart,pastry,"Cinnamon rolls, but pastry is the type",pastry,cake,roll,pastry,English ,"Russian, Ukrainian ",60-69,Female,USA,None,Fri May 14 03:20:24 PM 2021
cake,cake,tart,pie,biscuit,cake,slice,biscuit,pastry,Scone,roll,pastry,cake,bun,slice,English,"Spanish, Japanese",20-29,Male,United Kingdom,,Fri May 14 03:38:21 PM 2021
cake,cake,tart,tart,cookie,cake,pie,biscuit,roll,bun,roll,bun,cake,pastry,pastry,Greek,"Albanian, English, French",20-29,Nonbinary,Greece,-,Fri May 14 03:58:57 PM 2021
cake,cake,tart,pie,cookie,bread,slice,cookie,pastry,cookie,roll,bread,bread,bread,bread,Romanian,"English, Dutch, French ",Under 20,Female,Romania,,Fri May 14 04:12:10 PM 2021
cake,cake,pie,pie,biscuit,slice,tart,biscuit,pastry,bun,roll,pastry,Sponge cake,bread,pie,Finnish,"Spanish, French, English, Swedish",20-29,Female,Finland,-,Fri May 14 04:18:28 PM 2021
cake,cake,tart,pie,cookie,slice,cake,cookie,danish,roll,roll,pastry,bread,bread,"""bar"" or something like that",English,"Spanish, French",20-29,Female,USA,,Fri May 14 04:58:49 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,roll,roll,roll,bread,English,,30-39,Female,United States,,Fri May 14 05:47:00 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,cake,cake,cake,British English,,40-49,Female,England,,Fri May 14 05:57:10 PM 2021
cake,cake,pie,tart,cookie,cake,pie,cookie,pie,scon,roll,bundt,bundt,bundt,tart,No,"Spanish, Italian",40-49,Female,Uruguay,no,Fri May 14 06:00:54 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,Lemon Danish,pastry,roll,pastry,roll,bread,pie,English,German,30-39,Female,USA,,Fri May 14 06:01:32 PM 2021
cake,cake,tart,pie,cookie,slice,slice,cookie,pastry,pastry,roll,pastry,cake,bread,Squares,Italian,"English, French, German, Danish, Spanish",50-59,Female,Italy,,Fri May 14 06:54:25 PM 2021
cake,cake,tart,pie,cookie,cake,pie,cookie,pastry,cream puff,roll,pastry,cake,bread,pastry,English,"French, German",Under 20,Female,Canada,,Fri May 14 07:02:22 PM 2021
